X..Pathway	test_data_Coverage
HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic)|g__Bacillus.s__Bacillus_subtilis_group	0.3372365038
HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic)|g__Enterobacter.s__Enterobacter_cloacae_complex	0.0000005859
HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)	0.0000000000
HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)|g__Bacillus.s__Bacillus_subtilis_group	0.3372365038
HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)|g__Enterobacter.s__Enterobacter_cloacae_complex	0.0000005859
HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)|unclassified	0.0000000000
HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent)	0.0000000000
HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent)|g__Enterobacter.s__Enterobacter_cloacae_complex	0.0000095960
HISDEG-PWY: L-histidine degradation I	0.0000000000
HISDEG-PWY: L-histidine degradation I|g__Bacillus.s__Bacillus_subtilis_group	0.2073634929
HISDEG-PWY: L-histidine degradation I|g__Enterobacter.s__Enterobacter_cloacae_complex	0.0000000000
HISDEG-PWY: L-histidine degradation I|unclassified	0.0002530483
HISTSYN-PWY: L-histidine biosynthesis	0.9135653001
HISTSYN-PWY: L-histidine biosynthesis|g__Bacillus.s__Bacillus_subtilis_group	0.0097277642
HISTSYN-PWY: L-histidine biosynthesis|g__Enterobacter.s__Enterobacter_cloacae_complex	0.0000000238
HISTSYN-PWY: L-histidine biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0
HISTSYN-PWY: L-histidine biosynthesis|g__Roseburia.s__Roseburia_intestinalis	0.0001140942
HISTSYN-PWY: L-histidine biosynthesis|unclassified	0.0000000000
HOMOSER-METSYN-PWY: L-methionine biosynthesis I	0.0000000000
HOMOSER-METSYN-PWY: L-methionine biosynthesis I|g__Enterobacter.s__Enterobacter_cloacae_complex	0.0000000000
HOMOSER-METSYN-PWY: L-methionine biosynthesis I|unclassified	0.8039311740
HSERMETANA-PWY: L-methionine biosynthesis III	0.0004883858
HSERMETANA-PWY: L-methionine biosynthesis III|g__Roseburia.s__Roseburia_intestinalis	0.1214162356
HSERMETANA-PWY: L-methionine biosynthesis III|unclassified	0.5918837097
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	0.9999369465
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Bacillus.s__Bacillus_subtilis_group	0.2227326185
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Enterobacter.s__Enterobacter_cloacae_complex	0.9918075067
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Roseburia.s__Roseburia_intestinalis	0.5576936548
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|unclassified	0.0000048744
KETOGLUCONMET-PWY: ketogluconate metabolism	0.0000000000
KETOGLUCONMET-PWY: ketogluconate metabolism|g__Enterobacter.s__Enterobacter_cloacae_complex	0.0000000000
KETOGLUCONMET-PWY: ketogluconate metabolism|unclassified	0.0110817346
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis	0.0000000000
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis|g__Enterobacter.s__Enterobacter_cloacae_complex	0.0000000000
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis|unclassified	0.8913017047
METHGLYUT-PWY: superpathway of methylglyoxal degradation	0.0000000000
METHGLYUT-PWY: superpathway of methylglyoxal degradation|g__Enterobacter.s__Enterobacter_cloacae_complex	0
METHGLYUT-PWY: superpathway of methylglyoxal degradation|unclassified	0
METSYN-PWY: superpathway of L-homoserine and L-methionine biosynthesis	0.0000000000
METSYN-PWY: superpathway of L-homoserine and L-methionine biosynthesis|g__Enterobacter.s__Enterobacter_cloacae_complex	0.0000000000
METSYN-PWY: superpathway of L-homoserine and L-methionine biosynthesis|unclassified	0.8776823824
NAD-BIOSYNTHESIS-II: NAD salvage pathway III (to nicotinamide riboside)	0.0000000000
NAD-BIOSYNTHESIS-II: NAD salvage pathway III (to nicotinamide riboside)|g__Enterobacter.s__Enterobacter_cloacae_complex	0.0000000000
NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli)	0.0000000000
NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli)|g__Enterobacter.s__Enterobacter_cloacae_complex	0.0034421758
NONMEVIPP-PWY: methylerythritol phosphate pathway I	0.0000000000
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Enterobacter.s__Enterobacter_cloacae_complex	0.0000000000
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Roseburia.s__Roseburia_intestinalis	0.0049161460
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	0.7595750193
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Enterobacter.s__Enterobacter_cloacae_complex	0.8625573361
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Roseburia.s__Roseburia_intestinalis	0.0000000000
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|unclassified	0.0173956171
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)	0.0000000000
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|unclassified	0.0000000003
ORNDEG-PWY: superpathway of ornithine degradation	0.0000000000
ORNDEG-PWY: superpathway of ornithine degradation|g__Enterobacter.s__Enterobacter_cloacae_complex	0.0000000136
ORNDEG-PWY: superpathway of ornithine degradation|unclassified	0.0000014565
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)	0.0000000000
P122-PWY: heterolactic fermentation	0.0000000000
P125-PWY: superpathway of (R,R)-butanediol biosynthesis	0.0000000000
P125-PWY: superpathway of (R,R)-butanediol biosynthesis|unclassified	0.0000000000
P161-PWY: acetylene degradation (anaerobic)	0.0000000000
P161-PWY: acetylene degradation (anaerobic)|g__Enterobacter.s__Enterobacter_cloacae_complex	0.0013712824
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)	0.0000000000
