X..Pathway	test_data_Abundance
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation	149.9592760944
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation|g__Enterobacter.s__Enterobacter_cloacae_complex	0
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation|unclassified	16.8997837774
GLUCONEO-PWY: gluconeogenesis I	642.6638733491
GLUCONEO-PWY: gluconeogenesis I|g__Enterobacter.s__Enterobacter_cloacae_complex	184.1389370385
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation	738.7474844347
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation|g__Enterobacter.s__Enterobacter_cloacae_complex	144.2920890602
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation|unclassified	19.0896958733
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation	312.3193636203
GLUTORN-PWY: L-ornithine biosynthesis I	756.4139060763
GLUTORN-PWY: L-ornithine biosynthesis I|g__Bacillus.s__Bacillus_subtilis_group	162.1526041733
GLUTORN-PWY: L-ornithine biosynthesis I|g__Enterobacter.s__Enterobacter_cloacae_complex	188.1979653189
GLUTORN-PWY: L-ornithine biosynthesis I|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	58.6381298905
GLUTORN-PWY: L-ornithine biosynthesis I|g__Roseburia.s__Roseburia_intestinalis	193.8746827752
GLUTORN-PWY: L-ornithine biosynthesis I|unclassified	46.9917208642
GLYCOCAT-PWY: glycogen degradation I	202.1961200302
GLYCOCAT-PWY: glycogen degradation I|g__Enterobacter.s__Enterobacter_cloacae_complex	133.4759731575
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	887.7024960294
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Bacillus.s__Bacillus_subtilis_group	157.6906061842
