X..Pathway	test_data_Abundance
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Roseburia.s__Roseburia_intestinalis	195.0348135668
PWY-7221: guanosine ribonucleotides de novo biosynthesis|unclassified	172.0336061196
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II	442.7441808273
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II|g__Enterobacter.s__Enterobacter_cloacae_complex	267.2184597812
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II|unclassified	159.8709618349
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I	559.1961009637
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I|g__Enterobacter.s__Enterobacter_cloacae_complex	242.0681685380
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I|unclassified	173.8579232871
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I	831.9775577062
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I|g__Enterobacter.s__Enterobacter_cloacae_complex	261.6531815423
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I|unclassified	66.9242687734
PWY-7234: inosine-5'-phosphate biosynthesis III	503.4080421522
PWY-7234: inosine-5'-phosphate biosynthesis III|g__Enterobacter.s__Enterobacter_cloacae_complex	142.2592804549
PWY-7234: inosine-5'-phosphate biosynthesis III|unclassified	24.0502745974
PWY-7237: myo-, chiro- and scyllo-inositol degradation	832.7507519376
PWY-7237: myo-, chiro- and scyllo-inositol degradation|g__Bacillus.s__Bacillus_subtilis_group	150.3390963196
PWY-7237: myo-, chiro- and scyllo-inositol degradation|g__Enterobacter.s__Enterobacter_cloacae_complex	244.7730454136
PWY-7237: myo-, chiro- and scyllo-inositol degradation|unclassified	178.0913928611
PWY-7238: sucrose biosynthesis II	986.1415919863
PWY-7238: sucrose biosynthesis II|g__Enterobacter.s__Enterobacter_cloacae_complex	218.5334337560
PWY-7238: sucrose biosynthesis II|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	212.6556086036
PWY-7238: sucrose biosynthesis II|g__Roseburia.s__Roseburia_intestinalis	326.2206813211
PWY-7238: sucrose biosynthesis II|unclassified	154.4556150162
PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II	706.4772571126
PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II|g__Roseburia.s__Roseburia_intestinalis	171.8540877316
PWY-7242: D-fructuronate degradation	357.7544221604
PWY-7242: D-fructuronate degradation|g__Bacillus.s__Bacillus_subtilis_group	177.6977946068
PWY-7269: mitochondrial NADPH production (yeast)	351.5069715255
PWY-7269: mitochondrial NADPH production (yeast)|g__Enterobacter.s__Enterobacter_cloacae_complex	103.1586741874
PWY-7279: aerobic respiration II (cytochrome c) (yeast)	212.2809661111
PWY-7282: 4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II	347.8235101494
PWY-7282: 4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II|unclassified	96.4393453448
PWY-7315: dTDP-N-acetylthomosamine biosynthesis	220.0304894904
PWY-7315: dTDP-N-acetylthomosamine biosynthesis|unclassified	69.0749474758
PWY-7323: superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis	358.9475229947
PWY-7323: superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis|g__Enterobacter.s__Enterobacter_cloacae_complex	116.7759267523
PWY-7345: superpathway of anaerobic sucrose degradation	447.0091700917
PWY-7345: superpathway of anaerobic sucrose degradation|g__Enterobacter.s__Enterobacter_cloacae_complex	156.5153705374
PWY-7356: thiamine diphosphate salvage IV (yeast)	173.5776341873
PWY-7356: thiamine diphosphate salvage IV (yeast)|unclassified	43.1670056244
PWY-7357: thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)	687.0188073559
PWY-7357: thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)|g__Bacillus.s__Bacillus_subtilis_group	166.1501624631
PWY-7357: thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	198.5301821452
PWY-7357: thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)|g__Roseburia.s__Roseburia_intestinalis	193.6665571941
PWY-7357: thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)|unclassified	66.5225495583
PWY-7400: L-arginine biosynthesis IV (archaebacteria)	767.7316545860
PWY-7400: L-arginine biosynthesis IV (archaebacteria)|g__Enterobacter.s__Enterobacter_cloacae_complex	224.7890016370
PWY-7446: sulfoquinovose degradation I	107.9654440476
PWY-7446: sulfoquinovose degradation I|g__Enterobacter.s__Enterobacter_cloacae_complex	78.6313581881
PWY-7456: &beta;-(1,4)-mannan degradation	275.5536967403
PWY-7528: L-methionine salvage cycle I (bacteria and plants)	224.3418412853
PWY-7560: methylerythritol phosphate pathway II	609.1847783594
PWY-7560: methylerythritol phosphate pathway II|g__Enterobacter.s__Enterobacter_cloacae_complex	0
PWY-7616: methanol oxidation to carbon dioxide	87.9143818243
PWY-7616: methanol oxidation to carbon dioxide|unclassified	11.0833420390
PWY-7626: bacilysin biosynthesis	160.4832831660
PWY-7663: gondoate biosynthesis (anaerobic)	593.5539511857
PWY-7663: gondoate biosynthesis (anaerobic)|g__Enterobacter.s__Enterobacter_cloacae_complex	265.8075461248
PWY-7663: gondoate biosynthesis (anaerobic)|unclassified	155.4766481852
PWY-7664: oleate biosynthesis IV (anaerobic)	527.0171437514
PWY-7664: oleate biosynthesis IV (anaerobic)|g__Enterobacter.s__Enterobacter_cloacae_complex	243.3652116106
PWY-7664: oleate biosynthesis IV (anaerobic)|unclassified	120.2262103078
PWY-7761: NAD salvage pathway II (PNC IV cycle)	350.6305302969
PWY-7790: UMP biosynthesis II	698.0005955372
PWY-7790: UMP biosynthesis II|g__Enterobacter.s__Enterobacter_cloacae_complex	0
PWY-7790: UMP biosynthesis II|g__Roseburia.s__Roseburia_intestinalis	161.8853737684
PWY-7790: UMP biosynthesis II|unclassified	127.1183946906
PWY-7791: UMP biosynthesis III	698.0005955372
PWY-7791: UMP biosynthesis III|g__Enterobacter.s__Enterobacter_cloacae_complex	0
PWY-7791: UMP biosynthesis III|g__Roseburia.s__Roseburia_intestinalis	161.8853737684
PWY-7791: UMP biosynthesis III|unclassified	127.1183946906
PWY-7815: poly(ribitol phosphate) wall teichoic acid biosynthesis I (B. subtilis)	168.0579103557
PWY-7819: poly(3-O-&beta;-D-glucopyranosyl-N-acetylgalactosamine 1-phosphate) wall teichoic acid biosynthesis	335.1846188107
PWY-7819: poly(3-O-&beta;-D-glucopyranosyl-N-acetylgalactosamine 1-phosphate) wall teichoic acid biosynthesis|g__Bacillus.s__Bacillus_subtilis_group	202.5429723216
PWY-7851: coenzyme A biosynthesis II (eukaryotic)	676.2190758889
PWY-7851: coenzyme A biosynthesis II (eukaryotic)|g__Enterobacter.s__Enterobacter_cloacae_complex	98.6890059456
PWY-7851: coenzyme A biosynthesis II (eukaryotic)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	120.8349916314
PWY-7851: coenzyme A biosynthesis II (eukaryotic)|g__Roseburia.s__Roseburia_intestinalis	187.3401423875
PWY-7858: (5Z)-dodecenoate biosynthesis II	307.1778997422
PWY-7858: (5Z)-dodecenoate biosynthesis II|g__Enterobacter.s__Enterobacter_cloacae_complex	216.1959650606
PWY-7883: anhydromuropeptides recycling II	224.6276888932
PWY-7883: anhydromuropeptides recycling II|g__Enterobacter.s__Enterobacter_cloacae_complex	167.9530156610
PWY-7942: 5-oxo-L-proline metabolism	292.6373712033
PWY-7953: UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)	716.5027685094
PWY-7953: UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)|g__Enterobacter.s__Enterobacter_cloacae_complex	101.8195651586
PWY-7953: UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)|g__Roseburia.s__Roseburia_intestinalis	163.9563338154
PWY-7953: UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)|unclassified	89.0341320505
PWY-7977: L-methionine biosynthesis IV	737.3754177327
PWY-7977: L-methionine biosynthesis IV|g__Enterobacter.s__Enterobacter_cloacae_complex	330.6174314648
PWY-7977: L-methionine biosynthesis IV|unclassified	221.5320408808
PWY-8004: Entner-Doudoroff pathway I	369.1702453003
PWY-8004: Entner-Doudoroff pathway I|g__Enterobacter.s__Enterobacter_cloacae_complex	157.5388658675
PWY-801: homocysteine and cysteine interconversion	345.4345524483
PWY-801: homocysteine and cysteine interconversion|unclassified	113.8754314664
PWY-8073: lipid IVA biosynthesis (P. putida)	177.4835789551
PWY-8073: lipid IVA biosynthesis (P. putida)|g__Enterobacter.s__Enterobacter_cloacae_complex	154.7007514174
PWY-8131: 5'-deoxyadenosine degradation II	358.2425700587
PWY-8131: 5'-deoxyadenosine degradation II|g__Enterobacter.s__Enterobacter_cloacae_complex	112.2784098747
PWY-8173: anteiso-branched-chain fatty acid biosynthesis	554.2160422553
PWY-8173: anteiso-branched-chain fatty acid biosynthesis|unclassified	177.6653503859
PWY-8174: odd iso-branched-chain fatty acid biosynthesis	554.2160422553
PWY-8174: odd iso-branched-chain fatty acid biosynthesis|unclassified	177.6653503859
PWY-8175: even iso-branched-chain fatty acid biosynthesis	554.2160422553
PWY-8175: even iso-branched-chain fatty acid biosynthesis|unclassified	177.6653503859
PWY-8178: pentose phosphate pathway (non-oxidative branch) II	741.3161416669
PWY-8178: pentose phosphate pathway (non-oxidative branch) II|g__Enterobacter.s__Enterobacter_cloacae_complex	226.3021261808
PWY-8178: pentose phosphate pathway (non-oxidative branch) II|g__Roseburia.s__Roseburia_intestinalis	214.2847503884
PWY-8178: pentose phosphate pathway (non-oxidative branch) II|unclassified	132.5894371783
PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)	624.6218558658
PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)|g__Enterobacter.s__Enterobacter_cloacae_complex	276.9710019540
PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)|unclassified	29.3949259662
PWY-821: superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae)	556.0136346898
PWY-821: superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae)|unclassified	22.6125964493
PWY-822: fructan biosynthesis	156.8955604433
PWY-822: fructan biosynthesis|g__Bacillus.s__Bacillus_subtilis_group	156.8955604433
PWY-841: superpathway of purine nucleotides de novo biosynthesis I	654.3271955188
PWY-841: superpathway of purine nucleotides de novo biosynthesis I|g__Enterobacter.s__Enterobacter_cloacae_complex	177.4221564440
PWY-841: superpathway of purine nucleotides de novo biosynthesis I|unclassified	117.2859970552
PWY-I9: L-cysteine biosynthesis VI (from L-methionine)	647.4723927887
PWY-I9: L-cysteine biosynthesis VI (from L-methionine)|g__Enterobacter.s__Enterobacter_cloacae_complex	191.1101467150
PWY-I9: L-cysteine biosynthesis VI (from L-methionine)|g__Roseburia.s__Roseburia_intestinalis	180.9225407678
PWY-I9: L-cysteine biosynthesis VI (from L-methionine)|unclassified	114.6644027814
PWY0-1061: superpathway of L-alanine biosynthesis	355.5729937189
PWY0-1061: superpathway of L-alanine biosynthesis|g__Enterobacter.s__Enterobacter_cloacae_complex	188.3804430847
PWY0-1061: superpathway of L-alanine biosynthesis|unclassified	49.8928011177
PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis	178.8983482943
PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis|g__Enterobacter.s__Enterobacter_cloacae_complex	140.1621738022
PWY0-1261: anhydromuropeptides recycling I	331.3172920723
PWY0-1261: anhydromuropeptides recycling I|g__Enterobacter.s__Enterobacter_cloacae_complex	189.0081898600
PWY0-1261: anhydromuropeptides recycling I|unclassified	38.8468621516
PWY0-1296: purine ribonucleosides degradation	895.9174027524
PWY0-1296: purine ribonucleosides degradation|g__Enterobacter.s__Enterobacter_cloacae_complex	229.8821764644
PWY0-1296: purine ribonucleosides degradation|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	38.5187588653
PWY0-1296: purine ribonucleosides degradation|g__Roseburia.s__Roseburia_intestinalis	216.4060677079
PWY0-1296: purine ribonucleosides degradation|unclassified	320.9137564245
PWY0-1297: superpathway of purine deoxyribonucleosides degradation	285.1114068374
PWY0-1297: superpathway of purine deoxyribonucleosides degradation|g__Enterobacter.s__Enterobacter_cloacae_complex	169.4896975376
PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation	559.7882307399
PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation|g__Enterobacter.s__Enterobacter_cloacae_complex	188.2123734619
PWY0-1319: CDP-diacylglycerol biosynthesis II	653.8656937947
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Enterobacter.s__Enterobacter_cloacae_complex	154.0874847463
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Roseburia.s__Roseburia_intestinalis	112.6236336214
PWY0-1319: CDP-diacylglycerol biosynthesis II|unclassified	124.6600350344
PWY0-1337: oleate &beta;-oxidation	249.3194360164
PWY0-1337: oleate &beta;-oxidation|g__Enterobacter.s__Enterobacter_cloacae_complex	165.8357438195
PWY0-1477: ethanolamine utilization	220.7718828874
PWY0-1477: ethanolamine utilization|g__Enterobacter.s__Enterobacter_cloacae_complex	167.7037195481
PWY0-1479: tRNA processing	464.2076852473
PWY0-1479: tRNA processing|g__Enterobacter.s__Enterobacter_cloacae_complex	221.4299290682
PWY0-1479: tRNA processing|unclassified	34.0084369190
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	1723.3472050234
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Bacillus.s__Bacillus_subtilis_group	793.5992492452
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Enterobacter.s__Enterobacter_cloacae_complex	545.1940079837
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|unclassified	275.8907171603
PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis	436.4024948679
PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis|g__Enterobacter.s__Enterobacter_cloacae_complex	0
PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)	335.7036099946
PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)|g__Enterobacter.s__Enterobacter_cloacae_complex	129.7372347117
PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)|unclassified	0
PWY0-301: L-ascorbate degradation I (bacterial, anaerobic)	260.8841549464
PWY0-301: L-ascorbate degradation I (bacterial, anaerobic)|g__Enterobacter.s__Enterobacter_cloacae_complex	189.6352590303
PWY0-781: aspartate superpathway	423.0477952730
PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage	177.9366074350
PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage|unclassified	136.8847546966
PWY0-862: (5Z)-dodecenoate biosynthesis I	510.0705626062
PWY0-862: (5Z)-dodecenoate biosynthesis I|g__Enterobacter.s__Enterobacter_cloacae_complex	228.2644713435
PWY0-862: (5Z)-dodecenoate biosynthesis I|unclassified	110.9683541196
PWY1ZNC-1: assimilatory sulfate reduction IV	664.3915007524
PWY1ZNC-1: assimilatory sulfate reduction IV|g__Bacillus.s__Bacillus_subtilis_group	286.2854640615
PWY1ZNC-1: assimilatory sulfate reduction IV|g__Enterobacter.s__Enterobacter_cloacae_complex	184.8809652949
PWY1ZNC-1: assimilatory sulfate reduction IV|unclassified	13.7490719161
PWY3O-4107: NAD salvage pathway V (PNC V cycle)	153.9119513240
PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic)	485.9603431364
PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic)|g__Enterobacter.s__Enterobacter_cloacae_complex	127.6280471657
PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic)|g__Roseburia.s__Roseburia_intestinalis	139.9323833302
PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic)|unclassified	42.4020523090
PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic)	485.9603431364
PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic)|g__Enterobacter.s__Enterobacter_cloacae_complex	127.6280471657
PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic)|g__Roseburia.s__Roseburia_intestinalis	139.9323833302
PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic)|unclassified	42.4020523090
PWY4LZ-257: superpathway of fermentation (Chlamydomonas reinhardtii)	246.5492460577
PWY66-389: phytol degradation	617.5804495224
PWY66-389: phytol degradation|unclassified	116.3679130982
PWY66-409: superpathway of purine nucleotide salvage	463.5322361821
PWY66-409: superpathway of purine nucleotide salvage|g__Enterobacter.s__Enterobacter_cloacae_complex	91.8258405063
PWY66-429: fatty acid biosynthesis initiation (mitochondria)	829.2833282226
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Enterobacter.s__Enterobacter_cloacae_complex	206.4334969210
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|unclassified	164.4272581365
PYRIDNUCSAL-PWY: NAD salvage pathway I (PNC VI cycle)	185.2115211895
PYRIDNUCSYN-PWY: NAD de novo biosynthesis I (from aspartate)	446.4304999447
PYRIDNUCSYN-PWY: NAD de novo biosynthesis I (from aspartate)|g__Bacillus.s__Bacillus_subtilis_group	172.1129092373
PYRIDNUCSYN-PWY: NAD de novo biosynthesis I (from aspartate)|g__Enterobacter.s__Enterobacter_cloacae_complex	101.5095041036
PYRIDNUCSYN-PWY: NAD de novo biosynthesis I (from aspartate)|g__Roseburia.s__Roseburia_intestinalis	0
PYRIDNUCSYN-PWY: NAD de novo biosynthesis I (from aspartate)|unclassified	60.6434588553
PYRIDOXSYN-PWY: pyridoxal 5'-phosphate biosynthesis I	224.7273229043
PYRIDOXSYN-PWY: pyridoxal 5'-phosphate biosynthesis I|unclassified	113.6752412977
REDCITCYC: TCA cycle VI (Helicobacter)	251.4677610601
RHAMCAT-PWY: L-rhamnose degradation I	534.7915336885
RHAMCAT-PWY: L-rhamnose degradation I|g__Bacillus.s__Bacillus_subtilis_group	188.6390296850
RHAMCAT-PWY: L-rhamnose degradation I|g__Enterobacter.s__Enterobacter_cloacae_complex	194.5999503472
RHAMCAT-PWY: L-rhamnose degradation I|g__Roseburia.s__Roseburia_intestinalis	148.6319783178
RHAMCAT-PWY: L-rhamnose degradation I|unclassified	19.4316263344
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)	580.8739952782
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)|g__Enterobacter.s__Enterobacter_cloacae_complex	113.4732374068
RUMP-PWY: formaldehyde oxidation I	264.5952901897
RUMP-PWY: formaldehyde oxidation I|g__Bacillus.s__Bacillus_subtilis_group	174.0675185539
SALVADEHYPOX-PWY: adenosine nucleotides degradation II	638.0307487000
SALVADEHYPOX-PWY: adenosine nucleotides degradation II|g__Bacillus.s__Bacillus_subtilis_group	188.7042394625
SALVADEHYPOX-PWY: adenosine nucleotides degradation II|g__Roseburia.s__Roseburia_intestinalis	182.0297623943
SALVADEHYPOX-PWY: adenosine nucleotides degradation II|unclassified	98.2520734256
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I	693.4612528647
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|g__Bacillus.s__Bacillus_subtilis_group	227.6566618333
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|g__Enterobacter.s__Enterobacter_cloacae_complex	125.7636200337
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|g__Roseburia.s__Roseburia_intestinalis	176.9625007894
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|unclassified	58.7327590357
SO4ASSIM-PWY: assimilatory sulfate reduction I	707.1820198395
SO4ASSIM-PWY: assimilatory sulfate reduction I|g__Bacillus.s__Bacillus_subtilis_group	286.2854640615
SO4ASSIM-PWY: assimilatory sulfate reduction I|g__Enterobacter.s__Enterobacter_cloacae_complex	254.2490170994
SO4ASSIM-PWY: assimilatory sulfate reduction I|unclassified	33.9305731443
SULFATE-CYS-PWY: superpathway of sulfate assimilation and cysteine biosynthesis	767.5386123779
SULFATE-CYS-PWY: superpathway of sulfate assimilation and cysteine biosynthesis|g__Bacillus.s__Bacillus_subtilis_group	250.0812149021
SULFATE-CYS-PWY: superpathway of sulfate assimilation and cysteine biosynthesis|g__Enterobacter.s__Enterobacter_cloacae_complex	178.2193520297
SULFATE-CYS-PWY: superpathway of sulfate assimilation and cysteine biosynthesis|unclassified	26.5020941497
TCA-GLYOX-BYPASS: superpathway of glyoxylate bypass and TCA	327.3655399482
TCA-GLYOX-BYPASS: superpathway of glyoxylate bypass and TCA|g__Enterobacter.s__Enterobacter_cloacae_complex	162.6946801523
TCA: TCA cycle I (prokaryotic)	447.1793508506
TCA: TCA cycle I (prokaryotic)|g__Enterobacter.s__Enterobacter_cloacae_complex	181.3566648021
TEICHOICACID-PWY: poly(glycerol phosphate) wall teichoic acid biosynthesis	235.8921454677
THISYN-PWY: superpathway of thiamine diphosphate biosynthesis I	382.2927945764
THISYN-PWY: superpathway of thiamine diphosphate biosynthesis I|unclassified	66.4783405566
THISYNARA-PWY: superpathway of thiamine diphosphate biosynthesis III (eukaryotes)	676.1066094221
THISYNARA-PWY: superpathway of thiamine diphosphate biosynthesis III (eukaryotes)|g__Bacillus.s__Bacillus_subtilis_group	174.7359661095
THISYNARA-PWY: superpathway of thiamine diphosphate biosynthesis III (eukaryotes)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	131.0788613994
THISYNARA-PWY: superpathway of thiamine diphosphate biosynthesis III (eukaryotes)|g__Roseburia.s__Roseburia_intestinalis	207.4136670742
THRESYN-PWY: superpathway of L-threonine biosynthesis	781.3487662160
THRESYN-PWY: superpathway of L-threonine biosynthesis|g__Enterobacter.s__Enterobacter_cloacae_complex	276.6720797136
THRESYN-PWY: superpathway of L-threonine biosynthesis|unclassified	37.8658043065
TRNA-CHARGING-PWY: tRNA charging	747.4082119450
TRNA-CHARGING-PWY: tRNA charging|g__Enterobacter.s__Enterobacter_cloacae_complex	177.2504136227
TRNA-CHARGING-PWY: tRNA charging|g__Roseburia.s__Roseburia_intestinalis	163.3225229016
TRNA-CHARGING-PWY: tRNA charging|unclassified	101.1001895207
TRPSYN-PWY: L-tryptophan biosynthesis	865.8332643153
TRPSYN-PWY: L-tryptophan biosynthesis|g__Bacillus.s__Bacillus_subtilis_group	198.6827348245
TRPSYN-PWY: L-tryptophan biosynthesis|g__Enterobacter.s__Enterobacter_cloacae_complex	236.9286845368
TRPSYN-PWY: L-tryptophan biosynthesis|g__Roseburia.s__Roseburia_intestinalis	233.1436386404
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I	391.5214489700
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Enterobacter.s__Enterobacter_cloacae_complex	238.5569064725
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|unclassified	61.9715013239
UNINTEGRATED	1733450.8385685734
UNINTEGRATED|g__Bacillus.s__Bacillus_subtilis_group	285123.7007813088
UNINTEGRATED|g__Enterobacter.s__Enterobacter_cloacae_complex	294873.4583358958
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	242793.7144174730
UNINTEGRATED|g__Roseburia.s__Roseburia_intestinalis	325141.9189852468
UNINTEGRATED|unclassified	140125.2355736959
UNMAPPED	348090.6157552168
URSIN-PWY: ureide biosynthesis	349.8834681077
VALSYN-PWY: L-valine biosynthesis	1114.2680918249
VALSYN-PWY: L-valine biosynthesis|g__Bacillus.s__Bacillus_subtilis_group	191.2463307572
VALSYN-PWY: L-valine biosynthesis|g__Enterobacter.s__Enterobacter_cloacae_complex	368.3406583770
VALSYN-PWY: L-valine biosynthesis|g__Roseburia.s__Roseburia_intestinalis	265.0569986902
VALSYN-PWY: L-valine biosynthesis|unclassified	86.5178211898
