X..Gene.Family	test_data_Abundance.RPKs
UniRef90_A0A074TMZ5|unclassified	0
UniRef90_A0A074TMZ7	28.1336466231
UniRef90_A0A074TMZ7|unclassified	28.1336466231
UniRef90_A0A074TN01	20.7916512258
UniRef90_A0A074TN01|unclassified	20.7916512258
UniRef90_A0A074TN18	0
UniRef90_A0A074TN18|unclassified	0
UniRef90_A0A074TN21	0
UniRef90_A0A074TN21|unclassified	0
UniRef90_A0A074TN39	26.3805308373
UniRef90_A0A074TN39|unclassified	26.3805308373
UniRef90_A0A074TN61	9.1631297159
UniRef90_A0A074TN61|unclassified	9.1631297159
UniRef90_A0A074TN79	70.2330780833
UniRef90_A0A074TN79|unclassified	70.2330780833
UniRef90_A0A074TN95	1.5797788310
UniRef90_A0A074TN95|unclassified	1.5797788310
UniRef90_A0A074TNB6	10.2319191401
UniRef90_A0A074TNB6|unclassified	10.2319191401
UniRef90_A0A074TNC0	38.7573667861
UniRef90_A0A074TNC0|unclassified	38.7573667861
UniRef90_A0A074TNC8	4.4408503499
UniRef90_A0A074TNC8|unclassified	4.4408503499
UniRef90_A0A074TNK4	0
UniRef90_A0A074TNK4|unclassified	0
UniRef90_A0A074TNM4	1.6506168643
UniRef90_A0A074TNM4|unclassified	1.6506168643
UniRef90_A0A074TNQ0	24.1309575499
UniRef90_A0A074TNQ0|unclassified	24.1309575499
UniRef90_A0A074TNR4	13.1801746639
UniRef90_A0A074TNR4|unclassified	13.1801746639
UniRef90_A0A074TNR6	77.9994382276
UniRef90_A0A074TNR6|unclassified	77.9994382276
UniRef90_A0A074TNT7	9.8019349542
UniRef90_A0A074TNT7|unclassified	9.8019349542
UniRef90_A0A074TNU9	53.0670802630
UniRef90_A0A074TNU9|unclassified	53.0670802630
UniRef90_A0A074TNX3	56.8663582072
UniRef90_A0A074TNX3|unclassified	56.8663582072
UniRef90_A0A074TNY5	31.0392997178
UniRef90_A0A074TNY5|unclassified	31.0392997178
UniRef90_A0A074TP03	58.0422558664
UniRef90_A0A074TP03|unclassified	58.0422558664
UniRef90_A0A074TP16	4.4255585799
UniRef90_A0A074TP16|unclassified	4.4255585799
UniRef90_A0A074TP19	0
UniRef90_A0A074TP19|unclassified	0
UniRef90_A0A074TP24	11.1451828925
UniRef90_A0A074TP24|unclassified	11.1451828925
UniRef90_A0A074TP31	16.8443998132
UniRef90_A0A074TP31|unclassified	16.8443998132
UniRef90_A0A074TP59	7.1878466340
UniRef90_A0A074TP59|unclassified	7.1878466340
UniRef90_A0A074TP60	5.7803951050
UniRef90_A0A074TP60|unclassified	5.7803951050
UniRef90_A0A074TP75	50.0707366474
UniRef90_A0A074TP75|unclassified	50.0707366474
UniRef90_A0A074TP84	38.0198446334
UniRef90_A0A074TP84|unclassified	38.0198446334
UniRef90_A0A074TPC1	0
UniRef90_A0A074TPC1|unclassified	0
UniRef90_A0A074TPD9	1.9230769231
UniRef90_A0A074TPD9|unclassified	1.9230769231
UniRef90_A0A074TPF3	0
UniRef90_A0A074TPF3|unclassified	0
UniRef90_A0A074TPH1	7.4265798867
UniRef90_A0A074TPH1|unclassified	7.4265798867
UniRef90_A0A074TPM5	0
UniRef90_A0A074TPM5|unclassified	0
UniRef90_A0A074TPM6	8.2812584469
UniRef90_A0A074TPM6|unclassified	8.2812584469
UniRef90_A0A074TPQ0	17.4382632333
UniRef90_A0A074TPQ0|unclassified	17.4382632333
UniRef90_A0A074TPR2	33.7236675776
UniRef90_A0A074TPR2|unclassified	33.7236675776
UniRef90_A0A074TPS4	46.8954319377
UniRef90_A0A074TPS4|unclassified	46.8954319377
UniRef90_A0A074TPW2	0
UniRef90_A0A074TPW2|unclassified	0
UniRef90_A0A074TPW3	32.4730571132
UniRef90_A0A074TPW3|unclassified	32.4730571132
UniRef90_A0A074TPX0	11.1913290203
UniRef90_A0A074TPX0|unclassified	11.1913290203
UniRef90_A0A074TPX3	21.1274590957
UniRef90_A0A074TPX3|unclassified	21.1274590957
UniRef90_A0A074TPY0	13.1086263127
UniRef90_A0A074TPY0|unclassified	13.1086263127
UniRef90_A0A074TQ34	7.6338283662
UniRef90_A0A074TQ34|unclassified	7.6338283662
UniRef90_A0A074TQ59	0
UniRef90_A0A074TQ59|unclassified	0
UniRef90_A0A074TQ73	67.8661347449
UniRef90_A0A074TQ73|unclassified	67.8661347449
UniRef90_A0A074TS35	3.1350844924
UniRef90_A0A074TS35|unclassified	3.1350844924
UniRef90_A0A074TSC7	6.5815685097
UniRef90_A0A074TSC7|unclassified	6.5815685097
UniRef90_A0A074TSF1	39.2012728985
UniRef90_A0A074TSF1|unclassified	39.2012728985
UniRef90_A0A074TSH1	9.3364197531
UniRef90_A0A074TSH1|unclassified	9.3364197531
UniRef90_A0A074TSI0	177.9011079571
UniRef90_A0A074TSI0|g__Enterobacter.s__Enterobacter_cloacae_complex	177.9011079571
UniRef90_A0A074TSI0|unclassified	0
UniRef90_A0A074TSJ1	46.5232358047
UniRef90_A0A074TSJ1|unclassified	46.5232358047
UniRef90_A0A074TSL6	47.1071110291
UniRef90_A0A074TSL6|unclassified	47.1071110291
UniRef90_A0A074TSM0	3.4664648067
UniRef90_A0A074TSM0|unclassified	3.4664648067
UniRef90_A0A074TSM4	0
UniRef90_A0A074TSM4|unclassified	0
UniRef90_A0A074TSQ2	15.9505410121
UniRef90_A0A074TSQ2|g__Enterobacter.s__Enterobacter_cloacae_complex	0
UniRef90_A0A074TSQ2|unclassified	15.9505410121
UniRef90_A0A074TST5	31.0781501456
UniRef90_A0A074TST5|unclassified	31.0781501456
UniRef90_A0A074TSU4	10.1850219010
UniRef90_A0A074TSU4|unclassified	10.1850219010
UniRef90_A0A074TSV4	30.2175137406
UniRef90_A0A074TSV4|unclassified	30.2175137406
UniRef90_A0A074TT47	15.5660959846
UniRef90_A0A074TT47|unclassified	15.5660959846
UniRef90_A0A074TTC1	10.3972553588
UniRef90_A0A074TTC1|unclassified	10.3972553588
UniRef90_A0A074TTE7	13.2208150141
UniRef90_A0A074TTE7|unclassified	13.2208150141
UniRef90_A0A074TTF8	24.0634484375
UniRef90_A0A074TTF8|unclassified	24.0634484375
UniRef90_A0A074TTH3	17.1607641563
UniRef90_A0A074TTH3|unclassified	17.1607641563
UniRef90_A0A074TTR5	0
UniRef90_A0A074TTR5|unclassified	0
UniRef90_A0A074TTX7	0
UniRef90_A0A074TTX7|unclassified	0
UniRef90_A0A074TTZ0	19.3978031248
UniRef90_A0A074TTZ0|g__Enterobacter.s__Enterobacter_cloacae_complex	0
UniRef90_A0A074TTZ0|unclassified	19.3978031248
UniRef90_A0A074TU47	60.6319092581
UniRef90_A0A074TU47|unclassified	60.6319092581
UniRef90_A0A074TU51	10.9853351786
UniRef90_A0A074TU51|unclassified	10.9853351786
UniRef90_A0A074TU56	5.4167138667
UniRef90_A0A074TU56|unclassified	5.4167138667
UniRef90_A0A074TUC8	66.8820917317
UniRef90_A0A074TUC8|unclassified	66.8820917317
UniRef90_A0A074TUK4	4.5248868778
UniRef90_A0A074TUK4|unclassified	4.5248868778
UniRef90_A0A074TUM8	17.2785771450
UniRef90_A0A074TUM8|unclassified	17.2785771450
UniRef90_A0A074TVM3	55.9233019802
UniRef90_A0A074TVM3|unclassified	55.9233019802
UniRef90_A0A074TVZ4	33.4051444492
UniRef90_A0A074TVZ4|unclassified	33.4051444492
UniRef90_A0A074TW36	24.2468462696
UniRef90_A0A074TW36|unclassified	24.2468462696
UniRef90_A0A074TW99	3.2362459547
UniRef90_A0A074TW99|unclassified	3.2362459547
UniRef90_A0A074TWH5	39.9530485179
UniRef90_A0A074TWH5|unclassified	39.9530485179
UniRef90_A0A074TWK3	11.0301108185
UniRef90_A0A074TWK3|unclassified	11.0301108185
UniRef90_A0A074TWR1	33.8621907332
UniRef90_A0A074TWR1|g__Enterobacter.s__Enterobacter_cloacae_complex	0
UniRef90_A0A074TWR1|unclassified	33.8621907332
UniRef90_A0A074TWV0	60.4104183030
UniRef90_A0A074TWV0|unclassified	60.4104183030
UniRef90_A0A074TWW0	47.3224153116
UniRef90_A0A074TWW0|unclassified	47.3224153116
UniRef90_A0A074TWW8	19.0820385812
UniRef90_A0A074TWW8|unclassified	19.0820385812
UniRef90_A0A074TX49	19.7341447125
UniRef90_A0A074TX49|unclassified	19.7341447125
UniRef90_A0A074TXB7	14.2188611689
UniRef90_A0A074TXB7|unclassified	14.2188611689
UniRef90_A0A074TXD4	131.8743012572
UniRef90_A0A074TXD4|g__Enterobacter.s__Enterobacter_cloacae_complex	131.8743012572
UniRef90_A0A074TXI8	19.5315490517
UniRef90_A0A074TXI8|unclassified	19.5315490517
UniRef90_A0A074TXS5	21.9214530527
UniRef90_A0A074TXS5|unclassified	21.9214530527
