Organism	GF_CC1	GF_CC2	GF_CC3	GF_CC4	GF_CC5	GF_CN1	GF_CN2	GF_CN3	GF_CN4	GF_CN5	GF_CR1	GF_CR2	GF_CR3	GF_CR4	GF_CR5	GF_PF1	GF_PF2	GF_PF3	SA_CC2	SA_CC5	SA_CN1	SA_CN2	SA_CN3	SA_CN4	SA_CN5	SA_CR1	SA_CR2	SA_CR3	SA_CR4	SA_CR5	SA_PF1	SA_PF2	SA_PF3	SA_PF4	SA_PF5
Chitinophagales	0.000568	0.0	0.000284	0.000284	0.000284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027707	0.0	0.0	0.000853	0.000568	0.0	0.0	0.0	0.0	0.000142	0.0	0.000142	0.0	0.0	0.0	0.000142	0.007531	0.01023	0.0	0.021029
Chlamydiales	0.0	0.001989	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000142	0.000142	0.000995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Class_Alphaproteobacteria	0.145496	0.44757	0.004405	0.005399	0.029412	0.034669	0.027565	0.034811	0.028133	0.02316	0.038505	0.014209	0.025575	0.022592	0.030548	0.000426	0.003978	0.00412	0.020602	0.093777	0.033532	0.038221	0.042057	0.030833	0.026144	0.012077	0.016056	0.009662	0.028843	0.023018	0.010799	0.014777	0.01293	0.007388	0.001847
Class_Bacilli	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000568	0.001989	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Class_Gammaproteobacteria	0.012788	0.005399	0.007957	0.004689	0.008383	0.063086	0.075732	0.060955	0.067349	0.050867	0.025718	0.014635	0.030548	0.017192	0.026144	0.001421	0.001421	0.001989	0.010514	0.006394	0.064791	0.08312	0.084683	0.066638	0.077153	0.019324	0.018613	0.020318	0.022023	0.026996	0.002558	0.001137	0.001705	0.002415	0.00071
Class_JG30-KF-CM66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010514	0.007104	0.014493	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011793	0.018613	0.006962	0.003694	0.015487
Class_P9X2b3D02	0.0	0.0	0.0	0.0	0.0	0.008383	0.013924	0.01023	0.009804	0.008951	0.010088	0.007957	0.003836	0.008099	0.007957	0.00071	0.0	0.0	0.0	0.0	0.006536	0.006536	0.007673	0.007957	0.00682	0.003836	0.008383	0.009946	0.013214	0.006678	0.000426	0.000426	0.000995	0.000284	0.000284
Class_Parcubacteria	0.0	0.0	0.0	0.0	0.0	0.00341	0.005399	0.003268	0.003978	0.001563	0.000426	0.0	0.0	0.001847	0.000284	0.0	0.000142	0.0	0.0	0.0	0.003978	0.002558	0.003268	0.002131	0.004689	0.0	0.0	0.0	0.001705	0.000568	0.00071	0.0	0.0	0.000995	0.000853
Class_Subgroup 11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002558	0.002984	0.004547	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006394	0.006394	0.009662	0.007388	0.004689
Class_Subgroup 15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000284	0.000426	0.000426	0.0	0.001137
Class_Subgroup 21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001421	0.003694	0.002273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002131	0.005826	0.002273	0.001989	0.002842
Class_Subgroup 5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000568	0.0	0.000142	0.0	0.000284
Class_Subgroup 6	0.0	0.0	0.0	0.0	0.0	0.048878	0.052998	0.049304	0.064081	0.031969	0.085678	0.112532	0.085251	0.133419	0.095197	0.022165	0.013356	0.017334	0.000284	0.0	0.028275	0.052856	0.067491	0.038505	0.028417	0.071611	0.077011	0.077579	0.099318	0.074453	0.029412	0.027707	0.043336	0.039216	0.031259
Class_Subgroup 9	0.0	0.0	0.0	0.0	0.0	0.003552	0.000853	0.003126	0.003552	0.003978	0.029412	0.033674	0.045041	0.054277	0.046178	0.043052	0.011793	0.033248	0.0	0.0	0.004831	0.003552	0.003978	0.001847	0.009378	0.033106	0.037226	0.021313	0.030264	0.023444	0.044757	0.033532	0.034527	0.027849	0.066354
Class_TK17	0.0	0.0	0.0	0.0	0.0	0.052714	0.058824	0.073174	0.065075	0.048167	0.005399	0.001421	0.000853	0.002131	0.002415	0.044615	0.042342	0.076584	0.001137	0.0	0.067633	0.086814	0.082268	0.064507	0.063654	0.001279	0.002842	0.001989	0.001989	0.002415	0.041915	0.051577	0.037937	0.057971	0.063086
Class_TK30	0.0	0.0	0.0	0.0	0.0	0.014209	0.010088	0.018897	0.017192	0.011225	0.003268	0.002273	0.004547	0.002558	0.003268	0.013782	0.012788	0.022023	0.0	0.0	0.01634	0.008383	0.031117	0.017334	0.019182	0.003978	0.001421	0.0	0.0	0.003978	0.010941	0.005826	0.008809	0.007673	0.019324
Clostridiales	0.0	0.001137	0.000426	0.007246	0.000426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000142	0.0	0.0	0.006394	0.001705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000426	0.0	0.000142	0.000142	0.0
Coxiellales	0.0	0.000284	0.000426	0.000426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cytophagales	0.0	0.000284	0.001137	0.0	0.000568	0.001705	0.0	0.000426	0.000284	0.00071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000426	0.000142	0.000995	0.001137	0.000995	0.0	0.000568	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dadabacteriales	0.0	0.001989	0.0	0.0	0.0	0.02245	0.033959	0.025007	0.035237	0.022165	0.00412	0.003268	0.002415	0.001137	0.003978	0.033248	0.021739	0.01634	0.0	0.000284	0.015772	0.021455	0.031259	0.022023	0.024581	0.005115	0.002842	0.004405	0.003268	0.002558	0.017334	0.019039	0.021455	0.028275	0.031259
Deinococcales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001989	0.000284	0.000142	0.0	0.000853
Desulfovibrionales	0.0	0.0	0.000284	0.000853	0.000426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Diplorickettsiales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000142	0.000142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EPR3968-O8a-Bc78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005968	0.018187	0.014493	0.012504	0.011793	0.011793	0.025575	0.006536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014209	0.010372	0.012219	0.009804	0.013356	0.012788	0.009946	0.018329	0.015345	0.006252
Ectothiorhodospirales	0.0	0.0	0.0	0.000284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Entotheonellales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000426	0.0	0.00071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000284	0.0	0.00071	0.001421	0.000284
Erysipelotrichales	0.0	0.000284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00071	0.000568	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Flavobacteriales	0.004973	0.004689	0.007246	0.011367	0.007673	0.0	0.000142	0.0	0.0	0.0	0.0	0.0	0.000284	0.0	0.0	0.069196	0.015487	0.019324	0.011935	0.019182	0.000568	0.001989	0.0	0.0	0.002131	0.0	0.000853	0.00071	0.000284	0.0	0.028559	0.026286	0.018471	0.018045	0.010372
Fusobacteriales	0.000284	0.0	0.000142	0.0	0.000426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gaiellales	0.0	0.0	0.001989	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
